,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
0,1/1/2016,11009,24429,159362,919,51
1,1/2/2016,14587,29093,159403,877,34
2,1/3/2016,15499,29616,159459,784,27
3,1/4/2016,19593,36172,159502,166,33
4,1/5/2016,18053,32049,159534,121,22
5,1/6/2016,24569,40996,159564,265,27
6,1/7/2016,27773,45986,159588,318,24
7,1/8/2016,28709,47061,159621,364,28
8,1/9/2016,20846,37341,159654,632,20
9,1/10/2016,14275,25404,159682,391,18
10,1/11/2016,22937,37393,159731,155,32
11,1/12/2016,25211,38958,159761,151,23
12,1/13/2016,21133,31608,159792,82,15
13,1/14/2016,23780,37295,159813,123,29
14,1/15/2016,28435,45993,159841,379,27
15,1/16/2016,19178,35791,159885,803,37
16,1/17/2016,12024,20487,159910,387,22
17,1/18/2016,12718,19998,159931,123,13
18,1/19/2016,17281,26966,159957,64,12
19,1/20/2016,23419,35477,159972,126,11
20,1/21/2016,23671,36048,159991,133,15
21,1/22/2016,20950,31344,160004,115,6
22,1/23/2016,0,0,160005,0,0
23,1/24/2016,0,0,160013,0,0
24,1/25/2016,0,0,160020,0,0
25,1/26/2016,0,0,160028,0,0
26,1/27/2016,6760,13698,160039,54,6
27,1/28/2016,11944,22314,160053,81,9
28,1/29/2016,16028,26896,160064,118,27
29,1/30/2016,12964,23350,160084,328,23
30,1/31/2016,16112,31280,160118,533,17
31,2/1/2016,24334,42380,160160,202,31
32,2/2/2016,28527,47742,160189,280,31
33,2/3/2016,16203,24225,160216,63,12
34,2/4/2016,27765,47458,160247,304,24
35,2/5/2016,13669,25538,160257,102,7
36,2/6/2016,16933,38782,160280,586,35
37,2/7/2016,17605,31524,160316,622,30
38,2/8/2016,19026,28648,160335,80,20
39,2/9/2016,22740,40198,160364,156,9
40,2/10/2016,22418,38402,160395,130,17
41,2/11/2016,18747,27783,160425,87,15
42,2/12/2016,16445,27143,160450,104,16
43,2/13/2016,6625,11589,160459,46,4
44,2/14/2016,4652,6934,160468,78,4
45,2/15/2016,5883,8747,160480,43,1
46,2/16/2016,14225,27802,160505,53,19
47,2/17/2016,23572,38304,160528,182,26
48,2/18/2016,22261,34431,160550,202,26
49,2/19/2016,21959,35317,160568,268,17
50,2/20/2016,24484,53540,160618,1710,50
51,2/21/2016,20052,41645,160685,1228,29
52,2/22/2016,28233,48237,160749,455,37
53,2/23/2016,16133,26379,160784,62,10
54,2/24/2016,9761,14994,160814,38,3
55,2/25/2016,25102,42707,160849,237,23
56,2/26/2016,22574,36101,160887,254,19
57,2/27/2016,17226,37583,160910,706,18
58,2/28/2016,25440,61595,160982,2335,43
59,2/29/2016,27957,47933,161089,376,58
60,3/1/2016,30509,55160,161146,470,66
61,3/2/2016,26195,43535,161198,235,35
62,3/3/2016,24061,37848,161243,215,22
63,3/4/2016,17369,29100,161268,150,16
64,3/5/2016,18023,36875,161310,785,46
65,3/6/2016,18832,36377,161379,837,40
66,3/7/2016,31492,56232,161493,633,58
67,3/8/2016,36521,67958,161604,723,98
68,3/9/2016,41489,81662,161732,1226,125
69,3/10/2016,42252,82079,161867,1271,111
70,3/11/2016,38193,76636,161987,1266,79
71,3/12/2016,32770,81491,162086,3247,105
72,3/13/2016,27549,63214,162214,2216,67
73,3/14/2016,10930,16498,162289,70,17
74,3/15/2016,31595,57722,162380,582,79
75,3/16/2016,36067,68713,162482,930,78
76,3/17/2016,35390,65353,162583,785,98
77,3/18/2016,34647,69122,162670,933,87
78,3/19/2016,24048,49113,162733,1411,69
79,3/20/2016,16676,29737,162795,633,40
80,3/21/2016,26414,44457,162890,428,57
81,3/22/2016,33496,62248,163000,705,99
82,3/23/2016,40981,80289,163136,1279,120
83,3/24/2016,36495,67590,163216,1045,101
84,3/25/2016,34091,70525,163320,1684,128
85,3/26/2016,27474,67267,163407,2834,108
86,3/27/2016,22481,52462,163501,2080,67
87,3/28/2016,20344,35548,163589,375,60
88,3/29/2016,31481,55067,163681,588,97
89,3/30/2016,33674,61264,163770,769,64
90,3/31/2016,38192,79447,163865,1141,91
0,4/1/2016,34448,67595,163963,1113,82
1,4/2/2016,21838,46206,164031,1193,63
2,4/3/2016,15321,28615,164102,448,31
3,4/4/2016,12302,20143,164167,49,19
4,4/5/2016,26236,43723,164237,341,56
5,4/6/2016,29364,48901,164310,443,37
6,4/7/2016,30400,54591,164366,280,65
7,4/8/2016,30811,53039,164425,542,51
8,4/9/2016,12698,21151,164455,346,21
9,4/10/2016,23228,49190,164536,1508,48
10,4/11/2016,32048,59206,164632,668,82
11,4/12/2016,23765,43504,164703,316,50
12,4/13/2016,37538,71788,164790,761,106
13,4/14/2016,38502,88278,164885,963,93
14,4/15/2016,39676,86981,164996,1273,118
15,4/16/2016,36148,102228,165139,3726,141
16,4/17/2016,38838,115805,165354,4348,190
17,4/18/2016,43989,102730,165576,1595,197
18,4/19/2016,46075,107515,165812,1130,184
19,4/20/2016,44542,104249,166002,1160,116
20,4/21/2016,45568,104484,166153,1307,149
21,4/22/2016,48806,113556,166319,4230,105
22,4/23/2016,33631,96274,166462,3309,155
23,4/24/2016,37862,115132,166692,4026,177
24,4/25/2016,42303,100925,166902,1698,170
25,4/26/2016,34639,75454,167048,741,97
26,4/27/2016,41931,93272,167196,1395,110
27,4/28/2016,37428,74857,167311,927,95
28,4/29/2016,34878,78020,167439,1051,122
29,4/30/2016,38258,110776,167638,4244,165
30,5/1/2016,10697,29020,167721,260,24
31,5/2/2016,38536,84418,167842,967,152
32,5/3/2016,22858,57652,167987,350,45
33,5/4/2016,31619,67962,168111,449,84
34,5/5/2016,39903,80750,168262,970,107
35,5/6/2016,18860,42069,168326,275,45
36,5/7/2016,31078,78977,168427,2293,133
37,5/8/2016,31197,84464,168582,2773,157
38,5/9/2016,45724,103071,168779,1389,195
39,5/10/2016,44849,89755,168979,876,133
40,5/11/2016,51181,106139,169209,1531,147
41,5/12/2016,52273,115823,169407,1971,169
42,5/13/2016,32391,68317,169570,855,92
43,5/14/2016,42063,108807,169769,4186,212
44,5/15/2016,28662,64857,169933,1865,116
45,5/16/2016,42787,94791,170102,1362,186
46,5/17/2016,43396,80744,170276,1012,154
47,5/18/2016,44803,93320,170465,1120,121
48,5/19/2016,49184,104291,170680,1471,0
49,5/20/2016,52544,118192,170960,2349,0
50,5/21/2016,30524,72663,171147,2174,0
51,5/22/2016,37804,98270,171349,3159,0
52,5/23/2016,48578,109072,171680,1549,0
53,5/24/2016,34799,68156,171898,696,0
54,5/25/2016,53441,125803,172154,1702,0
55,5/26/2016,52134,124751,172386,1646,0
56,5/27/2016,46943,106768,172638,1988,0
57,5/28/2016,34233,95897,172831,3634,0
58,5/29/2016,36881,114069,173090,4820,0
59,5/30/2016,32627,94241,173422,2782,0
60,5/31/2016,49774,106059,174137,1492,0
61,6/1/2016,54662,127143,174344,1513,0
62,6/2/2016,54401,124918,174516,1649,0
63,6/3/2016,38975,85292,174633,1023,0
64,6/4/2016,40973,107610,174797,3824,0
65,6/5/2016,22395,54320,174912,1133,0
66,6/6/2016,52130,123879,175118,1861,0
67,6/7/2016,51761,114761,175293,1331,0
68,6/8/2016,42063,89460,175420,673,0
69,6/9/2016,52885,127585,175557,1556,0
70,6/10/2016,53235,119143,175697,2022,0
71,6/11/2016,40980,111784,175901,3432,0
72,6/12/2016,40636,117814,176087,3335,0
73,6/13/2016,49069,110720,176273,1364,0
74,6/14/2016,54813,116030,176467,1471,0
75,6/15/2016,55049,122197,176711,1524,0
76,6/16/2016,46198,100175,176865,1104,0
77,6/17/2016,54236,121671,177053,2677,0
78,6/18/2016,48901,143869,177210,6432,0
79,6/19/2016,45270,137558,177370,5555,0
80,6/20/2016,52247,119765,177660,1488,0
81,6/21/2016,53564,116215,177895,1331,0
82,6/22/2016,55749,119611,178168,1476,0
83,6/23/2016,53206,115262,178354,1253,0
84,6/24/2016,54186,123440,178545,2142,0
85,6/25/2016,43000,123815,178715,4069,0
86,6/26/2016,42992,117472,178893,3784,0
87,6/27/2016,47023,100253,179061,1400,0
88,6/28/2016,49593,99918,179215,1099,0
89,6/29/2016,54882,114793,179403,1402,0
90,6/30/2016,54843,125575,179625,1571,0
0,7/1/16,39665,82871,179756,1316,139
1,7/2/16,35835,111151,179903,3596,314
2,7/3/16,35347,111116,180016,4095,169
3,7/4/16,34859,109745,180158,3826,155
4,7/5/16,43736,92107,180338,1357,160
5,7/6/16,51336,109240,180540,1288,153
6,7/7/16,48724,99975,180725,1255,113
7,7/8/16,44400,91632,180852,1258,152
8,7/9/16,38138,107359,180990,2844,145
9,7/10/16,41985,123282,181172,3280,137
10,7/11/16,52853,122260,181381,1440,211
11,7/12/16,56515,120414,181571,1472,192
12,7/13/16,55471,121029,181748,1510,146
13,7/14/16,50345,108541,181877,1326,126
14,7/15/16,48558,104701,182016,1709,173
15,7/16/16,38405,103429,182144,3281,122
16,7/17/16,41346,120635,182314,3440,153
17,7/18/16,43681,97216,182488,1062,154
18,7/19/16,54587,116806,182624,1498,139
